time,height,angle,dheight,dangle
0.000000000000000000e+00,2.010108323905123451e-01,1.312933912337820086e+00,1.500000014390047154e+00,1.043199337092724832e+00
2.000000000000000042e-02,6.939931636853328162e-22,3.074096669134083193e-01,1.968308190243509337e+00,7.200000071485928022e-01
4.000000000000000083e-02,3.454508449898884342e-12,1.720407796042027759e-01,6.162245382422243400e-01,1.167170327632777171e+00
5.999999999999999778e-02,1.134512191088830756e-21,7.800000077401259002e-01,6.532798555317139710e-01,9.093523194930808184e-01
8.000000000000000167e-02,2.020174175600907840e-01,1.418103509770699100e+00,1.440000014040496712e+00,1.066542743645380487e+00
1.000000000000000056e-01,1.408012580657990563e-21,3.239736081248305033e-01,1.931558966433798874e+00,6.600000065564142204e-01
1.199999999999999956e-01,6.000000060157206078e-02,2.004028497996167835e-01,6.459730991350111085e-01,1.081422121478561760e+00
1.400000000000000133e-01,1.116018174833491305e-01,8.400000083304476339e-01,6.919110348603900729e-01,9.235024254117573106e-01
1.600000000000000033e-01,2.042198203753747554e-01,1.521952561194568787e+00,1.380000013523866365e+00,1.088171186074951446e+00
1.799999999999999933e-01,2.232036349666982611e-03,3.417355083301436558e-01,1.889432168105755094e+00,6.000000059634682525e-01
2.000000000000000111e-01,1.200000011992636839e-01,2.308419010235081559e-01,6.745213184072880175e-01,9.929153462498585547e-01
2.200000000000000011e-01,2.229266996459305372e-01,9.000000089196156239e-01,7.296996782225051437e-01,9.364530924015731506e-01
2.399999999999999911e-01,2.076181330310893913e-01,1.624029784606300764e+00,1.320000012973729486e+00,1.108029492999948573e+00
2.600000000000000089e-01,6.690570342585593425e-03,3.606955338506744324e-01,1.842542607499179530e+00,5.400000053698328362e-01
2.800000000000000266e-01,1.800000017965229238e-01,2.633224967156341800e-01,7.018692887151716242e-01,9.018515354961736952e-01
2.999999999999999889e-01,3.339510578389250917e-01,9.600000095074142648e-01,7.665505303724886588e-01,9.482043704627448610e-01
3.200000000000000067e-01,2.122124724541567808e-01,1.723547839962561223e+00,1.260000012409173697e+00,1.126066523709872147e+00
3.400000000000000244e-01,1.336959149936409533e-02,3.808538441044773126e-01,1.791342707019225600e+00,4.800000047755703658e-01
3.599999999999999867e-01,2.400000023933390736e-01,2.977934535148853423e-01,7.280170966089766216e-01,8.084352145859639016e-01
3.800000000000000044e-01,4.446474789514172632e-01,1.020000010093550680e+00,8.023773845128731041e-01,9.587563066864290828e-01
4.000000000000000222e-01,2.180029769648178795e-01,1.818931778378932274e+00,1.200000011836561020e+00,1.142235228001591496e+00
4.199999999999999845e-01,2.226254107839244212e-02,4.022105915492929507e-01,1.736157002867293464e+00,4.200000041807309681e-01
4.400000000000000022e-01,3.000000029896970899e-01,3.341720890824640411e-01,7.529648235711166038e-01,7.128764099820260602e-01
4.600000000000000200e-01,5.549839043123613314e-01,1.080000010677613531e+00,8.371005245702189956e-01,9.681089450356723525e-01
4.799999999999999822e-01,2.249898025467233775e-01,1.906180766730985798e+00,1.140000011258783141e+00,1.156492756201232153e+00
5.000000000000000000e-01,3.336221916463966847e-02,4.247659218209786092e-01,1.677209544157499455e+00,3.600000035853551106e-01
5.200000000000000178e-01,3.600000035855768776e-01,3.722957044170837060e-01,7.767125468190748672e-01,6.153825887908846992e-01
5.400000000000000355e-01,6.649225889945025170e-01,1.140000011258999413e+00,8.706447154533690780e-01,9.762623261091704086e-01
5.600000000000000533e-01,2.331731189602047616e-01,1.974858662649342955e+00,1.080000010677396149e+00,1.168800407977049760e+00
5.799999999999999600e-01,4.666067094452971964e-02,4.485199740268375201e-01,1.614645683270300447e+00,3.000000029894751563e-01
5.999999999999999778e-01,4.200000041809525686e-01,4.117928776700705562e-01,7.992603399227413696e-01,5.161527480848944194e-01
6.199999999999999956e-01,7.744187188800913946e-01,1.200000011836775737e+00,9.029376291187750647e-01,9.832164868978454653e-01
6.400000000000000133e-01,2.425531059163086589e-01,2.015962821438798347e+00,1.020000010093332632e+00,1.179123462938747480e+00
6.600000000000000311e-01,6.214904532213155058e-02,4.734728811607911703e-01,1.548552723304949641e+00,2.400000023931169735e-01
6.800000000000000488e-01,4.800000047757917443e-01,4.521121340988465409e-01,8.206082732714002903e-01,4.153736340709645036e-01
7.000000000000000666e-01,8.834184623958917237e-01,1.260000012409385972e+00,9.339086835848739998e-01,9.889714605447488260e-01
7.199999999999999734e-01,2.531299494904798997e-01,2.033895547481176180e+00,9.600000095071955508e-01,1.187430935620166883e+00
7.399999999999999911e-01,7.981741457004938589e-02,4.996247706148285728e-01,1.478983409602206756e+00,1.800000017963006294e-01
7.600000000000000089e-01,5.400000053700539926e-01,4.927900450484700712e-01,8.407564144162124053e-01,3.132177578711843324e-01
7.800000000000000266e-01,9.918560540323801966e-01,1.320000012973937986e+00,9.634883517769181616e-01,9.935272761189765101e-01
8.000000000000000444e-01,2.649038389059004683e-01,2.035297353094296380e+00,9.000000089193962438e-01,1.193695290777590401e+00
8.200000000000000622e-01,9.965453565069698483e-02,5.269757647682813406e-01,1.405981939863098829e+00,1.200000011990412507e-01
8.399999999999999689e-01,6.000000059636891869e-01,5.334959921103560321e-01,8.597048283074680830e-01,2.098428419455367899e-01
8.599999999999999867e-01,1.099655020170155151e+00,1.380000013524067537e+00,9.916079905741801426e-01,9.968839584140533061e-01
8.800000000000000044e-01,2.778749637661892535e-01,2.022037143019278727e+00,8.400000083302279208e-01,1.197892147616501202e+00
9.000000000000000222e-01,1.216476360541000890e-01,5.555259816434888753e-01,1.329608675996352574e+00,6.000000060134946800e-02
9.200000000000000400e-01,6.600000065566348217e-01,5.739367349707417132e-01,8.774535774414402578e-01,1.053926191749396946e-01
9.400000000000000577e-01,1.206723265167314763e+00,1.440000014040677900e+00,1.018200164094107185e+00,9.990415277806133920e-01
9.599999999999999645e-01,2.920435117712411599e-01,1.998847837805105998e+00,7.800000077399058540e-01,1.199999999999999956e+00
9.799999999999999822e-01,1.457821013574463753e-01,5.852755356239112139e-01,1.249958649930886789e+00,3.231760773149073113e-12
1.000000000000000000e+00,7.200000071488131814e-01,6.139136917268438465e-01,8.940027219286127425e-01,3.832070977701117906e-22
